ir,rgb
infrared/000038.jpg,visible/000038.jpg
infrared/000039.jpg,visible/000039.jpg
infrared/000040.jpg,visible/000040.jpg
infrared/000041.jpg,visible/000041.jpg
infrared/000042.jpg,visible/000042.jpg
infrared/000043.jpg,visible/000043.jpg
infrared/000044.jpg,visible/000044.jpg
infrared/000045.jpg,visible/000045.jpg
infrared/000046.jpg,visible/000046.jpg
infrared/000047.jpg,visible/000047.jpg
infrared/000048.jpg,visible/000048.jpg
infrared/000049.jpg,visible/000049.jpg
infrared/000050.jpg,visible/000050.jpg
infrared/000051.jpg,visible/000051.jpg
infrared/000052.jpg,visible/000052.jpg
infrared/000053.jpg,visible/000053.jpg
infrared/000054.jpg,visible/000054.jpg
infrared/000055.jpg,visible/000055.jpg
infrared/000056.jpg,visible/000056.jpg
infrared/000057.jpg,visible/000057.jpg
infrared/000058.jpg,visible/000058.jpg
infrared/000059.jpg,visible/000059.jpg
infrared/000060.jpg,visible/000060.jpg
infrared/000061.jpg,visible/000061.jpg
infrared/000062.jpg,visible/000062.jpg
infrared/000063.jpg,visible/000063.jpg
infrared/000064.jpg,visible/000064.jpg
infrared/000065.jpg,visible/000065.jpg
infrared/000066.jpg,visible/000066.jpg
infrared/000067.jpg,visible/000067.jpg
infrared/000068.jpg,visible/000068.jpg
infrared/000069.jpg,visible/000069.jpg
infrared/000070.jpg,visible/000070.jpg
infrared/000071.jpg,visible/000071.jpg
infrared/000072.jpg,visible/000072.jpg
infrared/000073.jpg,visible/000073.jpg
infrared/000074.jpg,visible/000074.jpg
infrared/000075.jpg,visible/000075.jpg
infrared/000076.jpg,visible/000076.jpg
infrared/000077.jpg,visible/000077.jpg
infrared/000078.jpg,visible/000078.jpg
infrared/000079.jpg,visible/000079.jpg
infrared/000080.jpg,visible/000080.jpg
infrared/000081.jpg,visible/000081.jpg
infrared/000082.jpg,visible/000082.jpg
infrared/000083.jpg,visible/000083.jpg
infrared/000084.jpg,visible/000084.jpg
infrared/000085.jpg,visible/000085.jpg
infrared/000086.jpg,visible/000086.jpg
infrared/000087.jpg,visible/000087.jpg
infrared/000088.jpg,visible/000088.jpg
infrared/000089.jpg,visible/000089.jpg
infrared/000090.jpg,visible/000090.jpg
infrared/000091.jpg,visible/000091.jpg
infrared/000092.jpg,visible/000092.jpg
infrared/000093.jpg,visible/000093.jpg
infrared/000094.jpg,visible/000094.jpg
infrared/000095.jpg,visible/000095.jpg
infrared/000096.jpg,visible/000096.jpg
