ir,rgb,rgb_gt
infrared/000000.jpg,visible_mis/000000.png,visible_gt/000000.png
infrared/000001.jpg,visible_mis/000001.png,visible_gt/000001.png
infrared/000002.jpg,visible_mis/000002.png,visible_gt/000002.png
infrared/000003.jpg,visible_mis/000003.png,visible_gt/000003.png
infrared/000004.jpg,visible_mis/000004.png,visible_gt/000004.png
infrared/000005.jpg,visible_mis/000005.png,visible_gt/000005.png
infrared/000006.jpg,visible_mis/000006.png,visible_gt/000006.png
infrared/000007.jpg,visible_mis/000007.png,visible_gt/000007.png
infrared/000008.jpg,visible_mis/000008.png,visible_gt/000008.png
infrared/000009.jpg,visible_mis/000009.png,visible_gt/000009.png
infrared/000010.jpg,visible_mis/000010.png,visible_gt/000010.png
infrared/000011.jpg,visible_mis/000011.png,visible_gt/000011.png
infrared/000012.jpg,visible_mis/000012.png,visible_gt/000012.png
infrared/000013.jpg,visible_mis/000013.png,visible_gt/000013.png
infrared/000014.jpg,visible_mis/000014.png,visible_gt/000014.png
infrared/000015.jpg,visible_mis/000015.png,visible_gt/000015.png
infrared/000016.jpg,visible_mis/000016.png,visible_gt/000016.png
infrared/000017.jpg,visible_mis/000017.png,visible_gt/000017.png
infrared/000018.jpg,visible_mis/000018.png,visible_gt/000018.png
infrared/000019.jpg,visible_mis/000019.png,visible_gt/000019.png
infrared/000020.jpg,visible_mis/000020.png,visible_gt/000020.png
infrared/000021.jpg,visible_mis/000021.png,visible_gt/000021.png
infrared/000022.jpg,visible_mis/000022.png,visible_gt/000022.png
infrared/000023.jpg,visible_mis/000023.png,visible_gt/000023.png
infrared/000024.jpg,visible_mis/000024.png,visible_gt/000024.png
infrared/000025.jpg,visible_mis/000025.png,visible_gt/000025.png
infrared/000026.jpg,visible_mis/000026.png,visible_gt/000026.png
infrared/000027.jpg,visible_mis/000027.png,visible_gt/000027.png
infrared/000028.jpg,visible_mis/000028.png,visible_gt/000028.png
infrared/000029.jpg,visible_mis/000029.png,visible_gt/000029.png
infrared/000030.jpg,visible_mis/000030.png,visible_gt/000030.png
infrared/000031.jpg,visible_mis/000031.png,visible_gt/000031.png
infrared/000032.jpg,visible_mis/000032.png,visible_gt/000032.png
infrared/000033.jpg,visible_mis/000033.png,visible_gt/000033.png
infrared/000034.jpg,visible_mis/000034.png,visible_gt/000034.png
infrared/000035.jpg,visible_mis/000035.png,visible_gt/000035.png
infrared/000036.jpg,visible_mis/000036.png,visible_gt/000036.png
infrared/000037.jpg,visible_mis/000037.png,visible_gt/000037.png
infrared/000038.jpg,visible_mis/000038.png,visible_gt/000038.png
infrared/000039.jpg,visible_mis/000039.png,visible_gt/000039.png
infrared/000040.jpg,visible_mis/000040.png,visible_gt/000040.png
infrared/000041.jpg,visible_mis/000041.png,visible_gt/000041.png
infrared/000042.jpg,visible_mis/000042.png,visible_gt/000042.png
infrared/000043.jpg,visible_mis/000043.png,visible_gt/000043.png
infrared/000044.jpg,visible_mis/000044.png,visible_gt/000044.png
infrared/000045.jpg,visible_mis/000045.png,visible_gt/000045.png
infrared/000046.jpg,visible_mis/000046.png,visible_gt/000046.png
infrared/000047.jpg,visible_mis/000047.png,visible_gt/000047.png
infrared/000048.jpg,visible_mis/000048.png,visible_gt/000048.png
infrared/000049.jpg,visible_mis/000049.png,visible_gt/000049.png
infrared/000050.jpg,visible_mis/000050.png,visible_gt/000050.png
infrared/000051.jpg,visible_mis/000051.png,visible_gt/000051.png
infrared/000052.jpg,visible_mis/000052.png,visible_gt/000052.png
infrared/000053.jpg,visible_mis/000053.png,visible_gt/000053.png
infrared/000054.jpg,visible_mis/000054.png,visible_gt/000054.png
infrared/000055.jpg,visible_mis/000055.png,visible_gt/000055.png
infrared/000056.jpg,visible_mis/000056.png,visible_gt/000056.png
infrared/000057.jpg,visible_mis/000057.png,visible_gt/000057.png
infrared/000058.jpg,visible_mis/000058.png,visible_gt/000058.png
infrared/000059.jpg,visible_mis/000059.png,visible_gt/000059.png
infrared/000060.jpg,visible_mis/000060.png,visible_gt/000060.png
infrared/000061.jpg,visible_mis/000061.png,visible_gt/000061.png
infrared/000062.jpg,visible_mis/000062.png,visible_gt/000062.png
infrared/000063.jpg,visible_mis/000063.png,visible_gt/000063.png
infrared/000064.jpg,visible_mis/000064.png,visible_gt/000064.png
infrared/000065.jpg,visible_mis/000065.png,visible_gt/000065.png
infrared/000066.jpg,visible_mis/000066.png,visible_gt/000066.png
infrared/000067.jpg,visible_mis/000067.png,visible_gt/000067.png
infrared/000068.jpg,visible_mis/000068.png,visible_gt/000068.png
infrared/000069.jpg,visible_mis/000069.png,visible_gt/000069.png
infrared/000070.jpg,visible_mis/000070.png,visible_gt/000070.png
infrared/000071.jpg,visible_mis/000071.png,visible_gt/000071.png
infrared/000072.jpg,visible_mis/000072.png,visible_gt/000072.png
infrared/000073.jpg,visible_mis/000073.png,visible_gt/000073.png
infrared/000074.jpg,visible_mis/000074.png,visible_gt/000074.png
infrared/000075.jpg,visible_mis/000075.png,visible_gt/000075.png
infrared/000076.jpg,visible_mis/000076.png,visible_gt/000076.png
infrared/000077.jpg,visible_mis/000077.png,visible_gt/000077.png
infrared/000078.jpg,visible_mis/000078.png,visible_gt/000078.png
infrared/000079.jpg,visible_mis/000079.png,visible_gt/000079.png
infrared/000080.jpg,visible_mis/000080.png,visible_gt/000080.png
infrared/000081.jpg,visible_mis/000081.png,visible_gt/000081.png
infrared/000082.jpg,visible_mis/000082.png,visible_gt/000082.png
infrared/000083.jpg,visible_mis/000083.png,visible_gt/000083.png
infrared/000084.jpg,visible_mis/000084.png,visible_gt/000084.png
