ir,rgb
infrared/000605.jpg,visible/000605.jpg
infrared/000606.jpg,visible/000606.jpg
infrared/000607.jpg,visible/000607.jpg
infrared/000608.jpg,visible/000608.jpg
infrared/000609.jpg,visible/000609.jpg
infrared/000610.jpg,visible/000610.jpg
infrared/000611.jpg,visible/000611.jpg
infrared/000612.jpg,visible/000612.jpg
infrared/000613.jpg,visible/000613.jpg
infrared/000614.jpg,visible/000614.jpg
infrared/000615.jpg,visible/000615.jpg
infrared/000616.jpg,visible/000616.jpg
infrared/000617.jpg,visible/000617.jpg
infrared/000618.jpg,visible/000618.jpg
infrared/000619.jpg,visible/000619.jpg
infrared/000620.jpg,visible/000620.jpg
infrared/000621.jpg,visible/000621.jpg
infrared/000622.jpg,visible/000622.jpg
infrared/000623.jpg,visible/000623.jpg
infrared/000624.jpg,visible/000624.jpg
infrared/000625.jpg,visible/000625.jpg
infrared/000626.jpg,visible/000626.jpg
infrared/000627.jpg,visible/000627.jpg
infrared/000628.jpg,visible/000628.jpg
infrared/000629.jpg,visible/000629.jpg
infrared/000630.jpg,visible/000630.jpg
infrared/000631.jpg,visible/000631.jpg
infrared/000632.jpg,visible/000632.jpg
infrared/000633.jpg,visible/000633.jpg
infrared/000634.jpg,visible/000634.jpg
infrared/000635.jpg,visible/000635.jpg
infrared/000636.jpg,visible/000636.jpg
infrared/000637.jpg,visible/000637.jpg
infrared/000638.jpg,visible/000638.jpg
infrared/000639.jpg,visible/000639.jpg
infrared/000640.jpg,visible/000640.jpg
infrared/000641.jpg,visible/000641.jpg
infrared/000642.jpg,visible/000642.jpg
infrared/000643.jpg,visible/000643.jpg
infrared/000644.jpg,visible/000644.jpg
infrared/000645.jpg,visible/000645.jpg
infrared/000646.jpg,visible/000646.jpg
infrared/000647.jpg,visible/000647.jpg
infrared/000648.jpg,visible/000648.jpg
infrared/000649.jpg,visible/000649.jpg
infrared/000650.jpg,visible/000650.jpg
infrared/000651.jpg,visible/000651.jpg
infrared/000652.jpg,visible/000652.jpg
infrared/000653.jpg,visible/000653.jpg
infrared/000654.jpg,visible/000654.jpg
infrared/000655.jpg,visible/000655.jpg
infrared/000656.jpg,visible/000656.jpg
infrared/000657.jpg,visible/000657.jpg
infrared/000658.jpg,visible/000658.jpg
infrared/000659.jpg,visible/000659.jpg
infrared/000660.jpg,visible/000660.jpg
infrared/000661.jpg,visible/000661.jpg
infrared/000662.jpg,visible/000662.jpg
infrared/000663.jpg,visible/000663.jpg
infrared/000664.jpg,visible/000664.jpg
infrared/000665.jpg,visible/000665.jpg
infrared/000666.jpg,visible/000666.jpg
infrared/000667.jpg,visible/000667.jpg
infrared/000668.jpg,visible/000668.jpg
